음식점 이름,음식점 주소,전화번호,태그,특징,상세페이지 주소,좌표,lat,lon,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,img,주차시설,가성비,반려동물동반,위생,로컬 맛집,조용한,좋은 분위기,오션뷰,뷰가 좋은,theme,리뷰,id
타코마씸,제주특별자치도 제주시 구좌읍 해맞이해안로 474,064-782-0726,"혼밥, 데이트","예약, 오션뷰, 점심식사, 저녁식사, 테라스, 테이크아웃, 무료주차",https://www.diningcode.com/profile.php?rid=zxe9gafWg4ST,"{'lat': '33.5550803601917', 'lng': '126.797208116818'}",33.55508036,126.7972081,10:30,19:30,10:30,19:30,https://api.cdn.visitjeju.net/photomng/imgpath/202112/09/8aec8b40-7ae6-4313-b067-e7be5d7c0a99.JPG,True,False,False,False,False,False,False,True,True,"#멕시코요리 #타코 #흑돼지타코
#멕시칸 #음식 #에이드 #핫도그 #감자튀김 #칵테일 #또띠아 #주스 #술 #생맥주 #위스키 #오렌지주스",79.0,71
포도호텔레스토랑,제주특별자치도 서귀포시 안덕면 산록남로 863,064-793-7030,"가족외식, 데이트","고급스러운, 예약, 아침식사, 점심식사, 저녁식사, 아기의자, 무료주차",https://www.diningcode.com/profile.php?rid=qCyIJJEWwxLf,"{'lat': '33.3053604674639', 'lng': '126.393685407938'}",33.30536047,126.3936854,6:30,22:00,6:30,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/202112/09/6a0ca88a-2cd5-4de0-83aa-39904b23e794.jpg,True,False,False,False,False,False,True,False,False,"#우동 #유부초밥 #연어샐러드
#호텔레스토랑 #음식 #호텔 #새우튀김 #정식 #일식 #무장애관광 #물회 #딱새우 #냉우동 #새우튀김우동 #왕새우튀김우동 #튀김우동 #스끼야끼우동정식 #소고기우동 #짬뽕우동 #왕새우튀김 #생선조림정식 #불고기정식 #젓갈정식 #비빔밥 #성게비빔밥 #된장찌개 #한우된장찌개 #전복된장찌개 #새우장비빔밥 #함박스테이크정식 #돈가스정식 #스테이크 #등심스테이크 #한우 #회 #참치회 #돔베고기 #샐러드 #과일주스 #주스 #떡 #아이스크림 #찹쌀떡 #차 #홍삼차 #오미자차 #유자차 #매실차 #녹차 #잉글리쉬브렉퍼스트 #카모마일 #카페라떼 #카푸치노 #아메리카노 #에스프레소 #얼그레이 #술 #생맥주 #화랑(찹쌀로만든술) #와인 #레드와인 #화이트와인 #스파클링 #샴페인",92.4,72
피제리아3657,제주특별자치도 서귀포시 안덕면 난드르로 56,0507-1408-3658,데이트,"이국적/이색적, 오션뷰, 점심식사, 저녁식사, 연중무휴, 테라스, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=TXPmSrTH2jiN,"{'lat': '33.2363604766237', 'lng': '126.362132743179'}",33.23636048,126.3621327,11:00,21:00,11:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/1451ee12-ac76-4693-a1e4-90d6285cd2a9.jpg,True,False,False,False,False,False,False,True,True,"#3657하우스피자 #피자 #양식
#음식 #마르게리따 #레몬에이드 #아메리카노 #카페라떼",74.4,73
73st,제주특별자치도 제주시 해안마을길 73,0507-1358-7309,"데이트, 차모임","예쁜, 뷰맛집, 아침식사, 점심식사, 저녁식사, 아기의자, 무료주차",https://www.diningcode.com/profile.php?rid=hqpGx0gIyf9d,"{'lat': '33.4570050075652', 'lng': '126.455133915594'}",33.45700501,126.4551339,9:00,22:00,9:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/202112/13/b961ef78-e708-4255-9cf6-79a66a521bc1.jpg,True,False,False,False,False,False,False,False,True,"#카페 #디저트 #브런치
#피자 #샐러드 #음식 #페페로니햄피자 #고르곤졸라화덕피자 #감바스 #치킨샐러드 #리코타치즈샐러드 #햄버거 #홍합스튜 #해물스튜 #토스트 #소시지 #프렌치토스트 #바베큐치킨피자 #마약옥수수피자 #고르곤졸라피자 #에스프레소 #아메리카노 #카페라떼 #카푸치노 #카페모카 #바닐라라떼 #카라멜마끼아또 #크림라떼 #라떼 #말차라떼 #차 #밀크티 #딸기라떼 #초코라떼 #생강라떼 #복숭아아이스티 #에이드 #레몬에이드 #자몽에이드 #오렌지주스 #자몽주스 #레몬차 #자몽차 #생강차 #수제청 #캐모마일 #페퍼민트 #얼그레이 #자바칩프라푸치노 #스무디 #망고스무디 #블루베리요거트스무디 #딸기요거트스무디 #플레인요거트스무디 #무장애관광",79.5,74
몽탄제주점,제주특별자치도 제주시 구좌읍 동복로 83,0507-1371-5592,"식사모임, 데이트","고급스러운, 예약, 점심식사, 저녁식사, 예약필수, 예약가능, 무료주차",https://www.diningcode.com/profile.php?rid=qLNQUFSukHdo,"{'lat': '33.5533920518974', 'lng': '126.71509377031'}",33.55339205,126.7150938,10:00,17:30,10:00,17:30,https://api.cdn.visitjeju.net/photomng/imgpath/202002/17/e1d0b58a-8c3b-49cf-8165-66b5e37b269c.jpg,True,False,False,False,False,False,True,False,False,"#휴식/치유 #카페 #동복
#구좌 #음식 #아메리카노 #레몬에이드 #에이드 #에스프레소 #바닐라라떼 #카페라떼 #녹차라떼 #식당 #플랫화이트 #바닐라빈라떼 #라떼 #차 #밀크티 #말차라떼 #수제맥주 #와인",87.7,75
꼬스뗀뇨,제주특별자치도 제주시 구좌읍 해맞이해안로 2080,0507-1395-6912,"차모임, 데이트","경관/야경이좋은, 오션뷰, 야외테라스, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=drsl6a53kPkm,"{'lat': '33.5098702104994', 'lng': '126.905254340198'}",33.50987021,126.9052543,11:00,19:00,11:00,19:00,https://api.cdn.visitjeju.net/photomng/imgpath/202306/02/cfa5069c-4daa-4702-8955-e72472a8936d.jpg,True,False,False,False,False,False,False,True,True,"#구좌읍 #종달리 #카페
#코코넛커피 #에이드 #스무디 #짜이 #밀크티 #꽃차 #소금빵 #츄러스",83.2,76
너와의첫여행,제주특별자치도 제주시 애월읍 장소로 16,0507-1448-6891,"데이트, 아이와함께","예쁜, 체험카페, 정원, 반려동물동반, 발렛파킹",https://www.diningcode.com/profile.php?rid=PCmrd7tDm7Kg,"{'lat': '33.450627806931', 'lng': '126.384543324699'}",33.45062781,126.3845433,10:00,18:00,10:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202203/07/97a469ff-619d-4630-b0ad-90e01fe51414.jpg,True,False,True,False,False,False,False,False,True,"#메밀밭 #음식 #식당
#감귤 #크림라떼 #에이드 #스무디 #라떼 #에스프레소콘파냐 #카푸치노 #아메리카노 #유자차 #카페라떼 #바닐라라떼 #아이스티 #핫초코 #아이스초코 #요거트 #블루베리요거트스무디",78.6,77
덴드리,제주특별자치도 서귀포시 성산읍 삼달로 28-1,0507-1486-1178,"혼카페, 혼자카페","예쁜, 이국적/이색적, 바다가보이는, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=hmaVeBK6a1Tj,"{'lat': '33.3696144820773', 'lng': '126.866050294922'}",33.36961448,126.8660503,10:00,18:30,10:00,18:30,https://api.cdn.visitjeju.net/photomng/imgpath/202306/07/3dc63ff2-f3d4-4ec3-9cf9-f966cd63d21e.jpg,True,False,True,False,False,False,False,True,False,"#성산 #삼달리 #카페
#디저트 #바클라바",82.7,78
카페레이어드제주점,제주특별자치도 제주시 구좌읍 동복로 85,,"데이트, 간식","이국적/이색적, 오션뷰, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=lpfXPz769fT7,"{'lat': '33.5536043221312', 'lng': '126.715697494868'}",33.55360432,126.7156975,08:00,18:00,08:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202407/24/89645860-d0a7-4a69-bd60-9f9e6a927352.jfif,True,False,False,False,False,False,False,True,False,"#제주 #제주빵지순례 #베이글
#런던베이글 #빵지순례 #빵맛집 #베이글맛집 #제주카페 #제주빵집 #구좌빵집",69.0,79
레이오버,제주특별자치도 제주시 구좌읍 해맞이해안로 648,0507-1357-8491,"데이트, 혼카페","조용한, 오션뷰, 테라스, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=J2jv37lJ1N2I,"{'lat': '33.5586183463326', 'lng': '126.812387215493'}",33.55861835,126.8123872,10:30,18:30,10:30,18:30,https://api.cdn.visitjeju.net/photomng/imgpath/202305/26/74bbf778-497e-45bb-a75d-2a1720462a09.jpg,True,False,False,False,False,True,False,True,True,"#구좌읍 #월정리 #흑임자라떼
#보리개역 #당근주스 #쿠키 #스콘 #푸딩 #커피",80.0,80
레이지펌프,제주특별자치도 제주시 애월읍 애월북서길 32,0507-1325-8732,"데이트, 차모임","경관/야경이좋은, 오션뷰, 정원, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=S918ME6ygOLZ,"{'lat': '33.466267134706', 'lng': '126.309553095967'}",33.46626713,126.3095531,9:00,20:00,9:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202201/03/af2ffd93-7931-49be-9294-fd8d504e3750.jpg,True,False,False,False,False,False,False,True,True,"#애월카페거리 #디저트카페 #오션뷰
#음식 #카페 #에이드 #오렌지에이드 #복숭아에이드 #레몬에이드 #스무디 #초코라떼 #헤이즐넛라떼 #라떼 #에스프레소 #아메리카노 #카페라떼 #바닐라라떼 #빵 #말차라떼",110.4,81
버거307,제주특별자치도 제주시 조천읍 조함해안로 504,0507-1414-5342,"데이트, 간식","캐주얼한, 매콤, 점심식사, 저녁식사, 유아의자, 주차, 배달",https://www.diningcode.com/profile.php?rid=3CLmW0iFINX5,"{'lat': '33.5423935245741', 'lng': '126.666865346791'}",33.54239352,126.6668653,10:00,0:30,10:00,0:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f9978442-f7fe-4fdf-8c91-fa0a89f396ca.png,True,False,False,False,False,False,True,False,False,"#망고 #디저트카페 #할로망고코코넛빙수
#스노우망고플롯 #생망고쉐이크 #음식 #쉐이크 #망고스무디 #망고주스 #아이스크림 #에이드 #망고에이드 #청포도에이드 #자몽에이드 #아메리카노 #카페라떼 #카라멜라떼 #카페모카 #카푸치노 #콜드브루 #더치커피 #초코라떼 #말차라떼 #라떼",76.1,82
모모제이,제주특별자치도 제주시 인다8길 36-1,0507-1330-6000,"차모임, 데이트","깔끔한, 여유로운, 아침식사, 점심식사, 아기의자, 무료주차, 배달",https://www.diningcode.com/profile.php?rid=dATGaeIG3bHE,"{'lat': '33.4761259609949', 'lng': '126.548731558409'}",33.47612596,126.5487316,10:00,22:00,10:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/57c2a857-d141-4c3c-a1a1-20b4a09812ca.jpg,True,False,False,True,False,False,True,False,False,"#카페 #팬케이크 #샌드위치
#샐러드 #음식 #브런치 #아메리카노 #아보카도샐러드 #치킨샐러드 #바나나팬케이크 #토스트 #케이크 #커피 #에스프레소 #카페라떼 #바닐라라떼 #연유라떼 #아포가토 #라떼 #고구마라떼 #초코라떼 #그린티라떼 #미숫가루 #주스 #토마토주스 #딸기주스 #바나나주스 #에이드 #레몬에이드 #자몽에이드 #스무디 #딸기스무디 #그린티스무디 #딸기라떼 #아이스크림 #햄치즈토스트 #클럽샌드위치 #차 #자몽차 #레몬차 #캐모마일",75.5,83
무거버거,제주특별자치도 제주시 조천읍 조함해안로 356,0507-1319-5076,"데이트, 혼밥","경관/야경이좋은, 오션뷰, 아침식사, 점심식사, 저녁식사, 정원, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=DGI1D92jEQ9B,"{'lat': '33.5489812420561', 'lng': '126.655065539797'}",33.54898124,126.6550655,10:00,20:00,10:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202112/30/3ac54f8f-b661-49e5-a436-f12be048c83e.jpg,True,False,False,False,False,False,False,True,True,"#버거 #수제버거 #함덕해수욕장
#양식 #음식 #식당 #햄버거 #감자튀김 #밀크쉐이크 #아메리카노 #카페라떼 #쉐이크 #녹차쉐이크",99.5,84
벨롱(Bellon),제주특별자치도 제주시 구좌읍 해맞이해안로 1652,0507-1300-1899,아이와함께,"예쁜, 분위기좋은, 넓은마당, 바다가보이는, 주차",https://www.diningcode.com/profile.php?rid=CvoZ4OqOP9Uv,"{'lat': '33.5282666911235', 'lng': '126.879458437283'}",33.52826669,126.8794584,10:30,19:00,10:30,19:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f4503d45-d8a0-48f8-a729-569a4a83a415.jpg,True,False,False,False,False,False,True,True,False,"#카페 #커피 #샌드위치
#음식 #디저트 #아메리카노 #카페라떼 #카페모카 #에이드 #스무디 #딸기라떼 #라떼 #아인슈페너 #핫도그 #에스프레소 #더치커피 #바닐라라떼 #헤이즐넛라떼 #카라멜라떼 #모카라떼 #녹차라떼 #카라멜모카 #카푸치노 #핸드드립커피 #드립커피 #레몬에이드 #자몽에이드 #치즈핫도그",54.0,85
보라지붕,제주특별자치도 제주시 조천읍 함덕19길 6,0507-1326-6827,"차모임, 간식","캐주얼한, 예쁜, 좌식테이블, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=Mr0uIxPV5EFR,"{'lat': '33.5407653195167', 'lng': '126.670158753162'}",33.54076532,126.6701588,10:00,21:00,10:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202305/25/fd313464-1d0f-48c7-aa24-f4e57d0b3023.jpg,True,False,False,False,False,False,True,False,True,"#함덕 #카페 #브런치
#커피 #케이크 #와인 #맥주 #파스타 #떡볶이",75.8,86
비수기애호가,제주특별자치도 제주시 구좌읍 해맞이해안로 997,064-782-4217,"혼카페, 데이트","예쁜, 오션뷰, 아침식사, 점심식사, 바다가보이는, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=x6zNf0gR3ZJM,"{'lat': '33.543166445845', 'lng': '126.830782075688'}",33.54316645,126.8307821,10:00,18:00,10:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202305/26/02064cee-254f-407e-a5df-324389334b09.jpg,True,False,True,False,False,False,False,True,False,"#구좌읍 #한동리 #당근주스
#당근케이크 #한라봉주스 #드립커피 #풋귤차 #맥주 #샌드위치 #와인",80.8,87
빌레왓,제주특별자치도 서귀포시 안덕면 화순서동로 14,0507-1366-3939,데이트코스,"조용한, 뷰맛집, 점심식사, 저녁식사, 정원, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=eMxWCVq3Z7RK,"{'lat': '33.2525194778585', 'lng': '126.335007204038'}",33.25251948,126.3350072,11:00,22:00,11:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5d66d2f6-04e5-46c2-b990-671d11682137.jpg,True,False,False,False,False,True,False,True,True,"#버거 #파스타 #피자
#카페 #레스토랑 #음식 #샌드위치 #스파게티 #크림파스타 #그라탕 #2022고메페스타 #수제버거 #햄버거 #샐러드 #쉬림프피자 #마르게리따피자 #고르곤졸라피자 #토마토치즈그라탕 #까르보나라 #성게파스타 #오일파스타 #베이컨토마토파스타 #해산물크림파스타 #리조또 #전복리조또 #에이드 #레몬에이드 #자몽에이드 #아메리카노 #술 #와인 #하우스와인",62.0,88
새빌,제주특별자치도 제주시 애월읍 평화로 1529,0507-1315-0080,"차모임, 데이트","예쁜, 유럽, 아침식사, 점심식사, 저녁식사, 테라스, 야외좌석, 무료주차",https://www.diningcode.com/profile.php?rid=kvTKcYBT2NBB,"{'lat': '33.361559082812', 'lng': '126.363653537792'}",33.36155908,126.3636535,9:00,18:00,9:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201908/01/610e9716-5713-41ac-acd7-331f9b7ee6e7.JPG,True,False,False,False,False,False,False,False,True,"#부모 #커플 #아이
#친구 #맑음 #흐림 #경관/포토 #휴식/힐링 #사계절 #오름 #일몰 #음식 #포토스팟 #아메리카노 #콜드브루 #바닐라라떼 #카페라떼 #식당 #2022고메페스타 #에스프레소 #헤이즐넛 #라떼 #카푸치노 #에이드 #레몬에이드 #딸기라떼 #얼그레이밀크티 #초코라떼 #크림라떼 #말차라떼 #녹차 #홍차 #레몬차 #청귤차 #빵 #베이커리 #바게트 #마늘바게트 #에그타르트 #크로아상",108.0,89
송악산화덕피자,제주특별자치도 서귀포시 대정읍 송악관광로 392,064-792-4758,생방송아침이좋다,"예약, 현지인, 점심식사, 저녁식사, 유아의자, 주차",https://www.diningcode.com/profile.php?rid=WvzFGHLnBTqQ,"{'lat': '33.2089229404146', 'lng': '126.288228513754'}",33.20892294,126.2882285,10:00,19:00,10:00,19:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/de140941-8ca6-450f-a03d-f7b17e4402f5.jpeg,True,False,False,False,False,False,False,False,False,"#쌈찹 #피자 #화덕피자
#빠네 #음식 #고르곤졸라화덕피자 #파스타 #크림파스타 #치킨샐러드 #고르곤졸라피자 #갈릭피자 #포테이토피자 #콤비네이션피자 #불고기피자 #디아볼라피자 #김치불고기피자 #아메리카노 #카페라떼 #카페모카 #카라멜마끼아또 #바닐라라떼 #녹차라떼 #초코라떼 #망고스무디 #스무디 #요거트스무디 #딸기요거트스무디 #플레인요거트스무디 #블루베리요거트스무디 #에이드 #레몬에이드 #유자에이드 #자몽에이드 #아이스티 #차 #레몬차 #자몽차 #유자차 #빠네파스타 #토마토파스타 #샐러드 #해물볶음밥 #포테이토",73.0,90
스테이위드커피,제주특별자치도 제주시 해안마을5길 29,0507-1375-5730,"차모임, 데이트","조용한, 여유로운, 테라스, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=pvoPgoObvt3m,"{'lat': '33.4582549910064', 'lng': '126.455732106675'}",33.45825499,126.4557321,9:00,18:00,9:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d064a304-28c0-4ea0-bfda-35c1acf38164.jpg,True,False,False,False,False,True,True,False,True,"#카페 #커피 #드립커피
#커피클래스 #음식 #핸드드립커피 #아메리카노 #바닐라라떼 #샌드위치 #2022고메페스타 #핸드드립코스타리카 #핸드드립인도네시아만델링 #핸드드립케냐 #에스프레소 #에스프레소마키아또 #카페라떼 #카푸치노 #플랫화이트 #더치커피 #라떼 #말차라떼 #자몽차 #자몽에이드 #코코아 #크로아상 #에그타르트 #마들렌 #케이크 #아이스크림 #우수관광사업체",75.0,91
아뜰리에안,제주특별자치도 서귀포시 막숙포로 166,0507-1346-8100,"데이트, 혼카페","예쁜, 오션뷰, 아침식사, 야외좌석, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=cBnaOrnIyc2j,"{'lat': '33.231503169432', 'lng': '126.505996421101'}",33.23150317,126.5059964,10:00,22:00,10:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6437402d-9fb0-4a72-b9a2-b6fe4c0c9ae6.jpg,True,False,False,False,False,False,False,True,True,"#차 #아이스티 #케이크
#음식 #청귤차 #아메리카노 #에스프레소 #카페라떼 #카푸치노 #브런치 #햄버거 #샐러드 #샌드위치 #치즈케이크 #쿠키 #브라우니 #수제마카롱 #블랙티 #수제요거트 #블루베리요거트 #페퍼민트 #캐모마일 #국화차 #도라지차 #장미차 #바닐라라떼 #라떼",86.6,92
아일랜드조르바,제주특별자치도 제주시 구좌읍 대수길 9,0507-1404-2901,"수요미식회, 혼카페, 데이트","조용한, 예쁜, 테이크아웃, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=wG3LGNNms0fs,"{'lat': '33.535562206126', 'lng': '126.839041524664'}",33.53556221,126.8390415,10:30,18:00,10:30,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/23589772-2d1c-4e49-bd14-2a52a5f7d257.jpg,True,False,True,False,False,True,False,False,False,"#카페 #커피 #댕유자에이드
#드립커피커피 #음식 #핸드드립커피 #에이드 #유자에이드 #핸드드립케냐 #파나마게이샤 #미숫가루 #아메리카노 #라떼 #바닐라라떼 #카라멜라떼 #레몬에이드 #케이크",78.4,93
풍류,제주 제주시 관덕로8길 31,0507-1464-1830,혼카페,"빈티지, 예쁜, 반려동물동반",https://www.diningcode.com/profile.php?rid=ZA896l7ed4KL,"{'lat': '33.5105174891967', 'lng': '126.523365331925'}",33.51051749,126.5233653,11:11,21:00,11:11,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d561c7ef-7d96-4010-8144-314a13313656.jpg,False,False,True,False,False,False,False,False,False,"#녹담만설 #원두 #카페
#커피 #음료 #음식 #아메리카노 #핸드드립커피 #카페라떼 #카페모카 #녹차라떼 #바닐라라떼 #카푸치노 #에스프레소 #플랫화이트 #자몽주스 #쉐이크 #밀크쉐이크 #아이스크림 #아포가토 #더치커피 #콜드브루 #루이보스",58.2,94
제주돔베막국수,제주특별자치도 제주시 한경면 고산로 49 1층,064-773-2147,혼밥,"지역주민이찾는, 캐주얼한, 점심식사, 아기의자",https://www.diningcode.com/profile.php?rid=I1FLaxqTiALl,"{'lat': '33.3053987556391', 'lng': '126.17910003961'}",33.30539876,126.1791,11:00,16:00,11:00,16:00,https://api.cdn.visitjeju.net/photomng/imgpath/202010/13/2243ffb8-8dd5-4745-8355-564af63489f5.jpeg,False,False,False,False,True,False,True,False,False,"#한경 #고산 #디저트
#수제 #카페 #음식 #쿠키 #아메리카노 #에그타르트 #에이드 #식당 #커피 #오미자에이드 #레몬에이드 #차 #카모마일 #레몬차 #빵 #브라우니 #치즈케이크",83.0,95
짱구분식,"제주특별자치도 서귀포시 중동로48번길 8 (서귀동, 귤섬가) 1층",064-762-6389,"제주도민맛집, 간식, 혼밥","서민적인, 현지인맛집, 점심식사, 저녁식사",https://www.diningcode.com/profile.php?rid=PWnbcAnk7owl,"{'lat': '33.2499296659272', 'lng': '126.566596877739'}",33.24992967,126.5665969,12:00,21:00,12:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202210/19/12e8a33b-18fa-4eb5-a146-5dd46abd83cb.jpg,False,True,False,False,True,False,False,False,False,"#음식 #식당 #카페
#브런치 #스프 #함박스테이크 #소시지 #수제소시지 #샌드위치 #샐러드 #커피 #아메리카노 #에스프레소 #라떼 #홍차 #얼그레이 #보이차 #밀크티 #콤부차 #핫초코 #레몬에이드 #칵테일 #무장애관광",96.1,96
어린왕자감귤밭,제주특별자치도 서귀포시 대정읍 추사로36번길 45-1,0507-1461-1605,"아이동반, 데이트","예쁜, 아이랑, 정원, 야외자리, 무료주차",https://www.diningcode.com/profile.php?rid=EdsNP2Q66h7b,"{'lat': '33.2532986503899', 'lng': '126.28182986122'}",33.25329865,126.2818299,9:30,20:00,9:30,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202306/26/dda64359-643b-442f-acf9-7545e49502b0.jpg,True,False,False,False,False,False,False,False,True,"#서귀포 #대정읍 #청귤
#한라봉 #먹이주기체험 #청귤에이드",65.6,97
오드랑베이커리,제주특별자치도 제주시 조천읍 조함해안로 552-3,064-784-5404,"간식, 데이트","캐주얼한, 지역주민이찾는, 아침식사, 점심식사, 저녁식사, 테이크아웃, 무료주차",https://www.diningcode.com/profile.php?rid=rEdUVu5fls3E,"{'lat': '33.5421352880566', 'lng': '126.671582949609'}",33.54213529,126.6715829,7:00,22:00,7:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/452e0e32-aab1-4549-84b0-7a2d35d7174f.png,True,False,False,False,True,False,True,False,False,"#빵집 #베이커리 #카페
#음식 #빵 #디저트 #마늘바게트 #아메리카노 #바게트 #프레즐 #깜파뉴 #베이글 #카페라떼 #카푸치노 #바닐라라떼 #카페모카 #라떼 #녹차라떼 #고구마라떼 #초코라떼 #아이스티 #에이드 #레몬에이드 #자몽에이드 #차 #유자차 #레몬차 #얼그레이 #캐모마일 #페퍼민트 #루이보스",140.5,98
오드씽,제주특별자치도 제주시 고다시길 25,070-7872-1074,"데이트, 차모임","경관/야경이좋은, 예쁜, 점심식사, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=z0rjBWtCCDTl,"{'lat': '33.4620197055574', 'lng': '126.52688431168'}",33.46201971,126.5268843,10:00,22:00,10:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/202306/02/fbb902ec-1879-41a3-a849-149b24b6c07e.jpg,True,False,True,False,False,False,False,False,True,"#제주시내 #오등동 #수영장
#카페 #커피 #맥주 #파스타",70.5,99
외도339,제주특별자치도 제주시 일주서로 7345,0507-1345-0339,"데이트, 차모임","경관/야경이좋은, 오션뷰, 아침식사, 테라스, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=fX2qQEiWPHQe,"{'lat': '33.4937415292097', 'lng': '126.431706378231'}",33.49374153,126.4317064,9:00,22:00,9:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/202112/29/ec0d04d6-237c-417e-9839-3eb97b4b63dc.jpg,True,False,False,False,False,False,False,True,True,"#바닐라빈라떼 #청귤청에이드 #바밤바밀크티
#음식 #카페",100.4,100
태진해장국,제주특별자치도 제주시 구산로 54,0507-1498-6500,"제주도민맛집, 해장, 해장용","서민적인, 현지인맛집, 점심식사, 유아의자, 주차, 배달",https://www.diningcode.com/profile.php?rid=KqE32iMK0HWB,"{'lat': '33.4843235461066', 'lng': '126.54065788782'}",33.48432355,126.5406579,08:00,18:00,11:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a2460f98-83ff-426b-931c-e0cc7a2fa7ed.jpg,True,True,False,False,True,False,False,False,False,"#카페 #셀프로스팅 #디저트
#플랫화이트 #둥둥라떼 #음식 #아메리카노 #카푸치노 #카페모카 #차 #캐모마일 #녹차 #에이드 #레몬에이드 #레몬차 #밀크티 #요거트스무디 #에그타르트 #에스프레소 #카페라떼 #바닐라라떼 #더치커피 #아포가토 #핸드드립커피",68.0,101
스시도모다찌,제주특별자치도 제주시 이도2동 광양8길 1,0507-1472-2890,"데이트, 혼밥","지역주민이찾는, 예약, 점심식사, 저녁식사, 배달",https://www.diningcode.com/profile.php?rid=sa3PdqAE1gqm,"{'lat': '33.4999775944192', 'lng': '126.529184383053'}",33.49997759,126.5291844,10:00,24:00,10:00,24:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7b45ef71-d620-4a80-99b9-66d951ba66e7.jpg,False,False,False,False,True,False,False,False,False,"#커피 #차 #생과일에이드
#음식 #핸드드립커피 #아메리카노 #카페라떼 #바닐라라떼 #카푸치노 #에스프레소 #카페모카 #카라멜마끼아또 #아포가토 #녹차라떼 #초코라떼 #홍차라떼 #고구마라떼 #라떼 #에이드 #레몬에이드 #자몽에이드 #청포도에이드 #주스 #망고주스 #딸기주스 #블루베리주스 #파인애플주스 #스무디 #딸기스무디 #망고스무디 #블루베리스무디 #다즐링 #얼그레이 #카모마일 #페퍼민트 #루이보스 #더치커피 #베이커리 #빵 #티라미수 #케이크 #치즈케이크 #머핀",81.0,102
